#左右：手環 手臂 短褲 長褲
#中間：帽子 上半衣服 下半衣服
#   格式
#   時間 [] [] [] [] [] [] []
#   有幾人就要有多少個陣列
#   每個陣列用空格分開
#   如果當下這個人沒有要做開關切換就維持陣列為空
#   0 : 關閉
#   1 : 紅
#   2 : 橙
#   3 : 黃
#   4 : 綠
#   5 : 藍
#   6 : 紫
#   7 : 白
#   [0上半衣服 1下半衣服 2帽子  3左手環 4右手環 5左手臂 6右手臂 7左短褲 8右短褲 9左長褲 10右長褲]

#1.25 [0,1,2,1,0,2,1,2,3,1,2] [3,5,3,2,3,2,2,3,3,2,2] [3,4,5,1,1,2,3,3,3,2,4] [] []
#2.25 [0,1,2,1,0,2,1,2,3,1,2] [3,5,3,2,3,2,2,3,3,2,2] [3,4,5,1,1,2,3,3,3,2,4] [] []
#3.25 [0,1,2,1,0,2,1,2,3,1,3] [3,5,3,2,3,2,2,3,3,2,2] [3,4,5,1,1,2,3,3,3,2,4] [] []

#Uptown Funk
00.00.000	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0] [0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0] [0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0] 

00.08.213	[0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
00.08.985	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [] [1, 6, 0, 1, 1, 1, 1, 0, 0, 0, 0] 
00.09.626	[1, 6, 0, 1, 1, 1, 1, 0, 0, 0, 0] [] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
00.10.056	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [] [0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4] 
00.10.650	[] [0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
00.11.000	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [1, 6, 0, 1, 1, 1, 1, 0, 0, 0, 0] [] 
00.11.684	[0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4]

00.11.823	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00.11.944	[0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4] [] [0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4]
00.12.065	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [1, 6, 0, 1, 1, 1, 1, 4, 4, 4, 4] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
00.12.186	[1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4] [1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4] [1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4] 

00.12.295	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
00.12.405	[] [1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4] []
00.13.099	[0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4] 
00.13.560	[1, 6, 0, 1, 1, 1, 1, 0, 0, 0, 0] [] [1, 6, 0, 1, 1, 1, 1, 0, 0, 0, 0] 
00.14.147	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
00.14.480	[] [1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0] [] 
00.15.132	[] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
00.15.513	[] [0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]  
00.15.893	[0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] []
00.16.452	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00.16.587	[] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] []
00.16.722	[1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4] [1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4] [1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4]

00.33.440	[] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00.37.560	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] [] [1, 6, 2, 1, 1, 1, 1, 4, 4, 4, 4] 
