#左右：手環 手臂 短褲 長褲
#中間：帽子 上半衣服 下半衣服
#   格式
#   時間 [] [] [] [] [] [] []
#   有幾人就要有多少個陣列
#   每個陣列用空格分開
#   如果當下這個人沒有要做開關切換就維持陣列為空
#   0 : 關閉
#   1 : 紅
#   2 : 橙
#   3 : 黃
#   4 : 綠
#   5 : 藍
#   6 : 紫
#   7 : 白
#   [0上半衣服 1下半衣服 2帽子  3左手環 4右手環 5左手臂 6右手臂 7左短褲 8右短褲 9左長褲 10右長褲]

#1.25 [0,1,2,1,0,2,1,2,3,1,2] [3,5,3,2,3,2,2,3,3,2,2] [3,4,5,1,1,2,3,3,3,2,4]
#2.25 [0,1,2,1,0,2,1,2,3,1,2] [3,5,3,2,3,2,2,3,3,2,2] [3,4,5,1,1,2,3,3,3,2,4]
#3.25 [0,1,2,1,0,2,1,2,3,1,3] [3,5,3,2,3,2,2,3,3,2,2] [3,4,5,1,1,2,3,3,3,2,4]

00.00.000	[6,7,0,6,6,6,6,5,5,5,5] [6,7,0,6,6,6,6,5,5,5,5] [6,7,0,6,6,6,6,5,5,5,5] 
00.00.779	[6,7,2,6,6,6,6,5,5,5,5] [6,7,2,6,6,6,6,5,5,5,5] [6,7,2,6,6,6,6,5,5,5,5] 
00.04.047	[0,0,0,0,0,0,0,0,0,0,0] [0,0,0,0,0,0,0,0,0,0,0] [0,0,0,0,0,0,0,0,0,0,0] 
00.08.677	[0,0,0,0,0,0,0,0,0,0,0] [5,5,5,5,5,5,5,5,5,5,5] [0,0,0,0,0,0,0,0,0,0,0] 

00.11.458	[3,3,3,3,3,3,3,3,3,3,3] [1,1,1,1,1,1,1,1,1,1,1] [3,3,3,3,3,3,3,3,3,3,3]
00.11.955	[1,1,1,1,1,1,1,1,1,1,1] [3,3,3,3,3,3,3,3,3,3,3] [1,1,1,1,1,1,1,1,1,1,1]
00.12.451	[3,3,3,3,3,3,3,3,3,3,3] [1,1,1,1,1,1,1,1,1,1,1] [3,3,3,3,3,3,3,3,3,3,3]
00.12.948	[1,1,1,1,1,1,1,1,1,1,1] [3,3,3,3,3,3,3,3,3,3,3] [1,1,1,1,1,1,1,1,1,1,1]
00.13.445	[3,3,3,3,3,3,3,3,3,3,3] [1,1,1,1,1,1,1,1,1,1,1] [3,3,3,3,3,3,3,3,3,3,3]
00.13.942	[1,1,1,1,1,1,1,1,1,1,1] [3,3,3,3,3,3,3,3,3,3,3] [1,1,1,1,1,1,1,1,1,1,1]
00.14.440	[3,3,3,3,3,3,3,3,3,3,3] [1,1,1,1,1,1,1,1,1,1,1] [3,3,3,3,3,3,3,3,3,3,3]
00.14.937	[1,1,1,1,1,1,1,1,1,1,1] [3,3,3,3,3,3,3,3,3,3,3] [1,1,1,1,1,1,1,1,1,1,1]
00.15.443	[0,0,0,0,0,0,0,0,0,0,0] [0,0,0,0,0,0,0,0,0,0,0] [0,0,0,0,0,0,0,0,0,0,0] 
00.16.400	[5,5,5,5,5,5,5,5,5,5,5] [5,5,5,5,5,5,5,5,5,5,5] [5,5,5,5,5,5,5,5,5,5,5] 

00.17.762	[0,0,0,0,0,0,0,0,0,0,0] [0,0,0,0,0,0,0,0,0,0,0] [1,1,1,1,1,1,1,1,1,1,1] 
00.17.898	[0,0,0,0,0,0,0,0,0,0,0] [1,1,1,1,1,1,1,1,1,1,1] [1,1,1,1,1,1,1,1,1,1,1] 
00.18.035	[1,1,1,1,1,1,1,1,1,1,1] [1,1,1,1,1,1,1,1,1,1,1] [1,1,1,1,1,1,1,1,1,1,1] 

00.21.498	[0,0,0,0,0,0,0,7,7,7,7] [0,0,0,0,0,0,0,7,7,7,7] [0,0,0,0,0,0,0,7,7,7,7] 
00.21.639	[7,7,0,7,7,7,7,7,7,7,7] [7,7,0,7,7,7,7,7,7,7,7] [7,7,0,7,7,7,7,7,7,7,7] 
00.21.780	[7,7,7,7,7,7,7,7,7,7,7] [7,7,7,7,7,7,7,7,7,7,7] [7,7,7,7,7,7,7,7,7,7,7] 

00.25.230	[0,7,0,0,0,0,0,0,0,0,0] [0,7,0,0,0,0,0,0,0,0,0] [0,7,0,0,0,0,0,0,0,0,0] 
00.25.371	[6,7,2,6,6,6,6,0,0,0,0] [6,7,2,6,6,6,6,0,0,0,0] [6,7,2,6,6,6,6,0,0,0,0] 
00.25.512	[6,7,2,6,6,6,6,5,5,5,5] [6,7,2,6,6,6,6,5,5,5,5] [6,7,2,6,6,6,6,5,5,5,5]

00.32.833	[0,0,0,0,0,0,0,0,0,0,0] [0,0,0,0,0,0,0,0,0,0,0] [0,0,0,0,0,0,0,0,0,0,0]
